Study_ID,EffectSize_ID,Article ID,Study Year,Study Year_AVG2017,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,Country_EastAsia,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age,Maternal Age_AVG32,MaritalStatus_TwoParant,MaritalStatus_Mixed,Immigrant,MixedImmigrant,NonImmigrant,MajorityUrban,MixedUrban,MixedRural,MaternalEducation_HasBachelors,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducation_Years,Number of Other Children in the Household Age 0 to <6,Number of Other Children in the Household Age 0 to <6_AVG0.6,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG1.8,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_Av28,ISYoungestChildHousehold,MixedYoungestChildHousehold,NotYoungestChildHousehold,Comments,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,DeliveryLevel_Municipal,ProgramDeliveryPublic,ProgramDeliveryMixed,ProgramDeliveryPrivate,TypeECEProgram_ChildCare,TypeECEProgram_SchoolBased,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,DailyOperatingHours_Mixed,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_NoLegalProvisions,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation,Year of Policy Implementation_AVG2004,ChildAge_Youngerthan3,ChildAge_3andOlder,ChildAge_Mixed ,StudyDesign_DiffandDiff,StudyDesign_TripleDiffandDiff,StudyDesign_RD,StudyDesign_PanelFixedEffects,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,Outcome_GeneralEmployment,Outcome_LFP,N  ,MarginalEffect,SE ,Comments 
6,11,Chor_2016,2016,-1,1,0,0,0,0,1,1,0,36,4,1,0,0,0,1,,,,0,0,1,,0.6,0,1.5,-3,68.8,0,0,1,0,37,9,0,1,0, ,0,0,1,0,1,0,1,0, , , ,,,,1,0,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,1,0,5639,0.067,0.031,
7,12,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,2,0,1,0, ,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,2,0,1,0,1,0,0,0,0,,,1,0,1,0,"42,888",-0.015,0.011,
7,13,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,,,,,,,,,76.2,0,0,0,1,30,2,0,1,0, ,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,2,0,1,0,1,0,0,0,0,,,1,0,1,0,"42,888",-0.027,0.015,
8,14,Hardoy_2015,2015,-2,1,0,0,1,0,0,1,0,,,0,1,,,,,,,0,0,1,,0.7,1,1,-8,75.7,0,0,0,1,33,5,1,0,0, ,1,0,0,0,1,0,1,0, , , ,,,,0,1,0,1,0,2004,0,1,0,0,0,1,0,0,0,,,1,0,1,0,"273,024",0.041,0.006,
9,15,Lee_2016,2016,-1,1,0,0,0,0,1,1,0,34,2,1,0,,,,,,,,,,,0.6,0,0.7,-11,54.6,1,0,0,0,,,1,0,0, ,1,0,0, , , ,1,0,1,0,0,0,,,0,1,,,,2012,8,1,0,0,1,0,0,0,0,,,1,0,0,1,"4,062",0.015,0.033,
10,16,Lundin_2008,2008,-9,1,0,0,1,0,0,1,0,36,4,1,0,,,,,,,0,0,1,,,,1.5,-3,77,0,0,0,1,21,-7,1,0,0, ,1,0,0,1,0,0,1,0, , , ,,,,0,1,0,1,0,2002,-2,0,0,1,1,0,0,0,0,,,1,0,1,0,N/R,0.0003,0.007,
10,17,Lundin_2008,2008,-9,1,0,0,1,0,0,1,0,36,4,1,0,,,,,,,0,0,1,,,,1.5,-3,77,0,0,0,1,21,-7,1,0,0, ,1,0,0,1,0,0,1,0,0,0,1,0,,,1,0,0,1,0,2003,-1,0,1,0,1,0,0,0,0,,,1,0,1,0,N/R,-0.0023,0.0084,
11,18,Muller_2020,2020,3,1,0,0,1,0,0,1,0,33,1,1,0,0,0,1,,,,0,1,0,,0.04,-6,0.3,-15,71.3,0,0,0,1,38,10,1,0,0, ,1,0,0,0,1,0,1,0,0,0,0,1,,,1,0,1,0,0,2005,1,1,0,0,1,0,0,0,0,,,1,0,0,1,"59,567",0.219,0.122,
11,19,Muller_2020,2020,3,1,0,0,1,0,0,1,0,33,1,1,0,0,0,1,,,,0,1,0,,0.04,-6,0.3,-15,71.3,0,0,0,1,38,10,1,0,0, ,1,0,0,0,1,0,1,0,0,0,0,1,,,1,0,1,0,0,2005,1,1,0,0,1,0,0,0,0,,,1,0,1,0,"59,567",0.023,0.089,
12,20,Nollenberger_2015,2015,-2,1,0,0,1,0,0,1,0,32,0,1,0,0,0,1,,,,0,1,0,,,,2.2,4,44.1,1,0,0,0,13,-15,1,0,0, ,1,0,0,1,0,0,1,0,1,0,0,0,,,1,0,0,1,0,1991,-13,0,1,0,0,1,0,0,0,0,1,1,0,1,0,"105,748",0.028,0.016,
13,21,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,0,1,"47,652",0.027,0.016,
13,22,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,1,0,"47,652",0.013,0.012,
13,23,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,0,1,"47,652",-0.006,0.009,
13,24,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,1,0,"47,652",-0.018,0.011,
13,25,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,0,1,"47,652",0.018,0.011,
13,26,Soldani_2021,2021,4,1,0,1,0,0,0,1,0,30,-1,1,0,,,,,,,0,0,1,,,,2.5,7,59.9,1,0,0,0,21,-7,0,1,0, ,0,1,0,1,0,0,0,1, , , ,,,,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1,1,0,"47,652",0.006,0.009,
14,27,Zimmert_2019,2019,2,0,1,0,1,0,0,1,0,33,1,1,0,0,0,1,,,,,,,,,,2,2,72.5,0,0,0,1,37,9,1,0,0, ,0,1,0,0,1,0,1,0,0,0,1,0,,,1,0,0,1,0,2013,8,1,0,0,1,0,0,0,0,0,1,1,0,1,0,"6,338",0.144,0.0478,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
