Study_ID,EffectSize_ID,Article ID,Study Year,Study Year_AVG2017,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,Country_EastAsia,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age,Maternal Age_AVG33,MaritalStatus_TwoParant,MaritalStatus_Mixed,Immigrant,MixedImmigrant,NonImmigrant,MajorityUrban,MixedUrban,MixedRural,MaternalEducation_HasBachelors,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducation_Years,Number of Other Children in the Household Age 0 to <6,Number of Other Children in the Household Age 0 to <6_ONE STUDY,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG1.3,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_AVG32,PartTimeRate_<20,PartTimeRate_20-<25,PartTimeRate_25-<30,PartTimeRate_30+,ISYoungestChildHousehold,MixedYoungestChildHousehold,NotYoungestChildHousehold,Comments,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,DeliveryLevel_Municipal,ProgramDeliveryPublic,ProgramDeliveryMixed,ProgramDeliveryPrivate,TypeECEProgram_ChildCare,TypeECEProgram_SchoolBased,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,DailyOperatingHours_Mixed,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_NoLegalProvisions,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation,Year of Policy Implementation_AVG2006,ChildAge_Youngerthan3,ChildAge_3andOlder,ChildAge_Mixed ,StudyDesign_DiffandDiff,StudyDesign_TripleDiffandDiff,StudyDesign_RD,StudyDesign_PanelFixedEffects,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,ComparisonGroup_Employed,ComparisonGroup_Unemployed,Outcome_Full Time>20hours_LowFTP,Outcome_Part Time<20hours_LowFTP,Outcome_Full Time>30hours_HighFTP,Outcome_Part Time<30hours_HighFTP,PT_Author Defined,FT_Author Defined,N  ,MarginalEffect,SE 
3,11,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,0,1,,,,,1,0,"42,888",-0.007,0.011
3,12,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,0,1,,,,,1,0,"42,888",-0.011,0.011
4,13,Lundin_2008,2008,-9,1,0,0,1,0,0,1,0,35.6,3,1,0,,,,,,,0,0,1,,,,1.5,2,77,0,0,0,1,21,-11,0,1,0,0,1,0,0, ,1,0,0,1,0,0,1,0, , , ,,,,0,1,0,1,0,2002,-4,0,0,1,1,0,0,0,0,,,1,0,1,0,,,,,0,1,N/R,-0.0018,0.0063
4,14,Lundin_2008,2008,-9,1,0,0,1,0,0,1,0,35.6,3,1,0,,,,,,,0,0,1,,,,1.5,2,77,0,0,0,1,21,-11,0,1,0,0,1,0,0, ,1,0,0,1,0,0,1,0,0,0,1,0,,,1,0,0,1,0,2003,-3,0,1,0,1,0,0,0,0,,,1,0,1,0,,,,,0,1,N/R,0.0032,0.007
5,15,Muller_2020,2020,3,1,0,0,1,0,0,1,0,32.6,0,1,0,0,0,1,,,,0,1,0,,0.04,,0.3,-10,71.3,0,0,0,1,38,6,0,0,0,1,1,0,0, ,1,0,0,0,1,0,1,0,0,0,0,1,,,1,0,1,0,0,2005,-1,1,0,0,1,0,0,0,0,,,1,0,1,0,1,0,1,0,0,1,"59,567",0.023,0.089
5,16,Muller_2020,2020,3,1,0,0,1,0,0,1,0,32.6,0,1,0,0,0,1,,,,0,1,0,,0.04,,0.3,-10,71.3,0,0,0,1,38,6,0,0,0,1,1,0,0, ,1,0,0,0,1,0,1,0,0,0,0,1,,,1,0,1,0,0,2005,-1,1,0,0,1,0,0,0,0,,,1,0,1,0,1,0,,,1,0,"59,567",0.199,0.11
5,17,Muller_2020,2020,3,1,0,0,1,0,0,1,0,32.6,0,1,0,0,0,1,,,,0,1,0,,0.04,,0.3,-10,71.3,0,0,0,1,38,6,0,0,0,1,1,0,0, ,1,0,0,0,1,0,1,0,0,0,0,1,,,1,0,1,0,0,2005,-1,1,0,0,1,0,0,0,0,,,1,0,0,1,0,1,0,1,1,0,"59,567",-0.003,0.024
6,18,Zimmert_2019,2019,2,0,1,0,1,0,0,1,0,33,0,1,0,0,0,1,,,,,,,,,,2,7,72.5,0,0,0,1,37,5,0,0,0,1,1,0,0, ,0,1,0,0,1,0,1,0,0,0,1,0,,,1,0,0,1,0,2013,7,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,"2,725",0.0586,0.0599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,
